ticker,empresa,setor_brapi
GOLL54,GOL Linhas Aereas Inteligentes S.A. Pfd,Transportation
GSFI11,General Shopping e Outlets do Brasil Fundo de Investimento Imobiliario,Miscellaneous
BRAV3,Brava Energia,Energy Minerals
SHPP11,Shopping Patio Paulista Fundo De Investimento Imobiliario Responsabilidade Limitada,
CPUR11,Capitania HBC Renda Urbana Fundo de Investimento Imobiliario Responsabilidade Limitada,
FNOR11,Finor Pfd,
BOVA11,iShares Ibovespa Fundo de Indice,Miscellaneous
AZZA3,Azzas 2154 SA,Consumer Non-Durables
FNAM11,Fundo de Investimento da Amazonia Cotas,
IGTI11,Iguatemi SA Units Cons of 1 Sh + 2 Pfd Shs,Finance
GOLD11,Gold - Trend ETF LBMA Ouro Fundo Investimento Cotas de Fundo de Indice Investiment Exterior,Miscellaneous
SMAL11,iShares BM&FBOVESPA Small Cap Index Fund,Miscellaneous
HPDP11,Hedge Shopping Parque Dom Pedro Fundo de Investimento Imobiliario,Miscellaneous
CPLG11,Capitania Logistica Fundo de Investimento Imobiliario,Miscellaneous
MXRF11,Maxi Renda Fundo de Investimento Imobiliario Cotas,Miscellaneous
GARE11,Fundo de Investimento Imobiliario Guardian Real Estate,Miscellaneous
BOVX11,Trend ETF Ibovespa Fundo de Indice,Miscellaneous
VGIR11,Valora Re III Fundo De Investimento Imobiliario,
NASD11,Trend ETF Nasdaq 100 Fundo de Indice,Miscellaneous
RBRF11,Fundo de Investimento Imobiliario RBR Alpha Fundo de Fundos Cotas,Miscellaneous
CPTS11,Capitania Securities II Fundo de Investimento Imobiliario Cotas,Miscellaneous
GGRC11,GGR Covepi Renda Fundo de Investimento Imobiliario - FII,Miscellaneous
BRBI11,BRBI BR Partners S.A. Units Cons of 1 Sh and 2 Pfd Shs,Finance
KNSC11,Kinea Securities Fundo de Investimento Imobiliario,Miscellaneous
VVCO11,V2 Edificios Corporativos Fundode Investimento Imobiliario,
BOVV11,IT Now Ibovespa Fundo de Indice Cotas,Miscellaneous
XINA11,TREND ETF BLOOMBERG CHINA FUNDO DE INDICE -INVESTIMENTO NO EXTERIOR,Miscellaneous
