Ticker,Empresa,Setor (brapi),Subsetor (yfinance),País,Tipo,Market Cap,Logo
VIVT3.SA,Telefônica Brasil S.A.,Communications,Telecom Services,Brazil,stock,R$ 98.50 Bi,https://icons.brapi.dev/icons/VIVT3.svg
TIMS3.SA,TIM S.A.,Communications,Telecom Services,Brazil,stock,R$ 51.57 Bi,https://icons.brapi.dev/icons/TIMS3.svg
FIQE3.SA,Unifique Telecomunicações S.A.,Communications,Telecom Services,Brazil,stock,R$ 1.34 Bi,https://icons.brapi.dev/icons/FIQE3.svg
BRST3.SA,,Communications,Telecom Services,Brazil,stock,R$ 1.28 Bi,https://icons.brapi.dev/icons/BRST3.svg
TELB3.SA,Telecomunicações Brasileiras S.A. - Telebras,Communications,Telecom Services,Brazil,stock,R$ 1.14 Bi,https://icons.brapi.dev/icons/TELB3.svg
TELB4.SA,Telecomunicações Brasileiras S.A. - Telebras,Communications,Telecom Services,Brazil,stock,R$ 1.14 Bi,https://icons.brapi.dev/icons/TELB4.svg
DESK3.SA,Desktop S.A.,Communications,Telecom Services,Brazil,stock,R$ 1.10 Bi,https://icons.brapi.dev/icons/DESK3.svg
OIBR3.SA,Oi S.A.,Communications,Telecom Services,Brazil,stock,R$ 0.22 Bi,https://icons.brapi.dev/icons/OIBR3.svg
OIBR4.SA,Oi S.A.,Communications,Telecom Services,Brazil,stock,R$ 0.22 Bi,https://icons.brapi.dev/icons/OIBR4.svg
DTCY3.SA,DTCOM - Direct to Company S.A.,Communications,Telecom Services,Brazil,stock,R$ 0.03 Bi,https://icons.brapi.dev/icons/BRAPI.svg
ITUB4.SA,Itaú Unibanco Holding S.A.,Finance,Banks - Regional,Brazil,stock,R$ 369.26 Bi,https://icons.brapi.dev/icons/ITUB4.svg
ITUB3.SA,Itaú Unibanco Holding S.A.,Finance,Banks - Regional,Brazil,stock,R$ 369.26 Bi,https://icons.brapi.dev/icons/ITUB3.svg
BPAC3.SA,Banco BTG Pactual S.A.,Finance,Capital Markets,Brazil,stock,R$ 220.72 Bi,https://icons.brapi.dev/icons/BPAC3.svg
BPAC5.SA,Banco BTG Pactual S.A.,Finance,Capital Markets,Brazil,stock,R$ 220.72 Bi,https://icons.brapi.dev/icons/BPAC5.svg
BBDC4.SA,Banco Bradesco S.A.,Finance,Banks - Regional,Brazil,stock,R$ 163.13 Bi,https://icons.brapi.dev/icons/BBDC4.svg
BBDC3.SA,Banco Bradesco S.A.,Finance,Banks - Regional,Brazil,stock,R$ 163.13 Bi,https://icons.brapi.dev/icons/BBDC3.svg
BBAS3.SA,Banco do Brasil S.A.,Finance,Banks - Regional,Brazil,stock,R$ 124.04 Bi,https://icons.brapi.dev/icons/BBAS3.svg
ITSA4.SA,Itaúsa S.A.,Finance,Conglomerates,Brazil,stock,R$ 118.06 Bi,https://icons.brapi.dev/icons/ITSA4.svg
ITSA3.SA,Itaúsa S.A.,Finance,Conglomerates,Brazil,stock,R$ 118.06 Bi,https://icons.brapi.dev/icons/ITSA3.svg
SANB4.SA,Banco Santander (Brasil) S.A.,Finance,Banks - Regional,Brazil,stock,R$ 108.71 Bi,https://icons.brapi.dev/icons/SANB4.svg
SANB3.SA,Banco Santander (Brasil) S.A.,Finance,Banks - Regional,Brazil,stock,R$ 108.71 Bi,https://icons.brapi.dev/icons/SANB3.svg
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",Finance,Financial Data & Stock Exchanges,Brazil,stock,R$ 73.52 Bi,https://icons.brapi.dev/icons/B3SA3.svg
BBSE3.SA,BB Seguridade Participações S.A.,Finance,Insurance - Diversified,Brazil,stock,R$ 68.39 Bi,https://icons.brapi.dev/icons/BBSE3.svg
CXSE3.SA,Caixa Seguridade Participações S.A.,Finance,Insurance - Diversified,Brazil,stock,R$ 43.14 Bi,https://icons.brapi.dev/icons/CXSE3.svg
RENT3.SA,Localiza Rent a Car S.A.,Finance,Rental & Leasing Services,Brazil,stock,R$ 42.76 Bi,https://icons.brapi.dev/icons/RENT3.svg
PSSA3.SA,Porto Seguro S.A.,Finance,Insurance - Diversified,Brazil,stock,R$ 34.78 Bi,https://icons.brapi.dev/icons/PSSA3.svg
MULT3.SA,Multiplan Empreendimentos Imobiliários S.A.,Finance,Real Estate Services,Brazil,stock,R$ 13.21 Bi,https://icons.brapi.dev/icons/MULT3.svg
ALOS3.SA,Allos S.A.,Finance,Real Estate Services,Brazil,stock,R$ 11.29 Bi,https://icons.brapi.dev/icons/ALOS3.svg
BPAN4.SA,Banco Pan S.A.,Finance,Banks - Regional,Brazil,stock,R$ 10.09 Bi,https://icons.brapi.dev/icons/BPAN4.svg
CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações,Finance,Residential Construction,Brazil,stock,R$ 9.38 Bi,https://icons.brapi.dev/icons/CYRE3.svg
BNBR3.SA,Banco do Nordeste do Brasil S.A.,Finance,Banks - Regional,Brazil,stock,R$ 9.24 Bi,https://icons.brapi.dev/icons/BRAPI.svg
CURY3.SA,Cury Construtora e Incorporadora S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 8.49 Bi,https://icons.brapi.dev/icons/CURY3.svg
DIRR3.SA,Direcional Engenharia S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 7.36 Bi,https://icons.brapi.dev/icons/DIRR3.svg
IGTI3.SA,Iguatemi S.A.,Finance,Real Estate Services,Brazil,stock,R$ 6.47 Bi,https://icons.brapi.dev/icons/IGTI3.svg
BRAP4.SA,Bradespar S.A.,Finance,Asset Management,Brazil,stock,R$ 6.00 Bi,https://icons.brapi.dev/icons/BRAP4.svg
BRAP3.SA,Bradespar S.A.,Finance,Asset Management,Brazil,stock,R$ 6.00 Bi,https://icons.brapi.dev/icons/BRAP3.svg
ABCB4.SA,Banco ABC Brasil S.A.,Finance,Banks - Regional,Brazil,stock,R$ 5.34 Bi,https://icons.brapi.dev/icons/ABCB4.svg
BRSR5.SA,Banco do Estado do Rio Grande do Sul S.A.,Finance,Banks - Regional,Brazil,stock,R$ 4.78 Bi,https://icons.brapi.dev/icons/BRAPI.svg
BRSR3.SA,Banco do Estado do Rio Grande do Sul S.A.,Finance,Banks - Regional,Brazil,stock,R$ 4.78 Bi,https://icons.brapi.dev/icons/BRSR3.svg
BRSR6.SA,Banco do Estado do Rio Grande do Sul S.A.,Finance,Banks - Regional,Brazil,stock,R$ 4.78 Bi,https://icons.brapi.dev/icons/BRSR6.svg
VAMO3.SA,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",Finance,Rental & Leasing Services,Brazil,stock,R$ 4.40 Bi,https://icons.brapi.dev/icons/VAMO3.svg
BSLI4.SA,BRB - Banco de Brasília S.A.,Finance,Banks - Regional,Brazil,stock,R$ 4.27 Bi,https://icons.brapi.dev/icons/BSLI4.svg
BSLI3.SA,BRB - Banco de Brasília S.A.,Finance,Banks - Regional,Brazil,stock,R$ 4.27 Bi,https://icons.brapi.dev/icons/BSLI3.svg
BAZA3.SA,Banco da Amazônia S.A.,Finance,Banks - Regional,Brazil,stock,R$ 4.15 Bi,https://icons.brapi.dev/icons/BAZA3.svg
BMEB3.SA,Banco Mercantil do Brasil S.A.,Finance,Banks - Regional,Brazil,stock,R$ 3.74 Bi,https://icons.brapi.dev/icons/BMEB3.svg
BMEB4.SA,Banco Mercantil do Brasil S.A.,Finance,Banks - Regional,Brazil,stock,R$ 3.74 Bi,https://icons.brapi.dev/icons/BMEB4.svg
IRBR3.SA,IRB-Brasil Resseguros S.A.,Finance,Insurance - Reinsurance,Brazil,stock,R$ 3.62 Bi,https://icons.brapi.dev/icons/IRBR3.svg
JHSF3.SA,JHSF Participações S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 3.51 Bi,https://icons.brapi.dev/icons/JHSF3.svg
PLPL3.SA,Plano & Plano Desenvolvimento Imobiliário S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 3.03 Bi,https://icons.brapi.dev/icons/PLPL3.svg
TEND3.SA,Construtora Tenda S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 3.00 Bi,https://icons.brapi.dev/icons/TEND3.svg
BEES3.SA,Banestes S.A - Banco do Estado do Espírito Santo,Finance,Banks - Regional,Brazil,stock,R$ 2.95 Bi,https://icons.brapi.dev/icons/BEES3.svg
BEES4.SA,Banestes S.A - Banco do Estado do Espírito Santo,Finance,Banks - Regional,Brazil,stock,R$ 2.95 Bi,https://icons.brapi.dev/icons/BEES4.svg
EZTC3.SA,EZTEC Empreendimentos e Participações S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 2.94 Bi,https://icons.brapi.dev/icons/EZTC3.svg
MILS3.SA,"Mills Locação, Serviços e Logística S.A.",Finance,Rental & Leasing Services,Brazil,stock,R$ 2.55 Bi,https://icons.brapi.dev/icons/MILS3.svg
MOVI3.SA,Movida Participações S.A.,Finance,Rental & Leasing Services,Brazil,stock,R$ 2.45 Bi,https://icons.brapi.dev/icons/MOVI3.svg
LAVV3.SA,Lavvi Empreendimentos Imobiliários S.A.,Finance,Real Estate Services,Brazil,stock,R$ 2.36 Bi,https://icons.brapi.dev/icons/LAVV3.svg
BMGB4.SA,Banco BMG S.A.,Finance,Banks - Regional,Brazil,stock,R$ 2.15 Bi,https://icons.brapi.dev/icons/BMGB4.svg
