ticker,empresa,volume,logo,setor_brapi,tipo,setor_b3,subsetor_b3
BBDC4,Banco Bradesco SA Pfd,51887400,https://icons.brapi.dev/icons/BBDC4.svg,Finance,stock,Financeiro e Outros,Bancos
BBAS3,Banco do Brasil S.A.,49988600,https://icons.brapi.dev/icons/BBAS3.svg,Finance,stock,Financeiro e Outros,Bancos
PETR4,Petroleo Brasileiro SA Pfd,48871300,https://icons.brapi.dev/icons/PETR4.svg,Energy Minerals,stock,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis"
AZUL4,Azul SA Pfd Registered Shs,45112900,https://icons.brapi.dev/icons/AZUL4.svg,Transportation,stock,Bens Industriais,Transporte e Logística
CSAN3,Cosan S.A.,42305100,https://icons.brapi.dev/icons/CSAN3.svg,Utilities,stock,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis"
B3SA3,"B3 SA - Brasil, Bolsa, Balcao",41804900,https://icons.brapi.dev/icons/B3SA3.svg,Finance,stock,Financeiro e Outros,Serviços Financeiros Diversos
ITSA4,Itausa SA Non-Cum Perp Pfd Registered Shs,40118600,https://icons.brapi.dev/icons/ITSA4.svg,Finance,stock,Financeiro e Outros,Serviços Financeiros Diversos
ABEV3,Ambev SA,35447400,https://icons.brapi.dev/icons/ABEV3.svg,Consumer Non-Durables,stock,Consumo Não Cíclico,Alimentos e Bebidas
MRFG3,Marfrig Global Foods SA,28882700,https://icons.brapi.dev/icons/MRFG3.svg,Consumer Non-Durables,stock,Consumo Não Cíclico,Alimentos e Bebidas
BRFS3,BRF S.A.,26961300,https://icons.brapi.dev/icons/BRFS3.svg,Consumer Non-Durables,stock,Consumo Não Cíclico,Alimentos e Bebidas
USIM5,Usinas Siderurgicas de Minas Gerais SA-Usiminas Pfd A,26570200,https://icons.brapi.dev/icons/USIM5.svg,Non-Energy Minerals,stock,Materiais Básicos,Mineração e Siderurgia
ITUB4,Itau Unibanco Holding SA Pfd,25925100,https://icons.brapi.dev/icons/ITUB4.svg,Finance,stock,Financeiro e Outros,Bancos
VALE3,Vale S.A.,25374600,https://icons.brapi.dev/icons/VALE3.svg,Non-Energy Minerals,stock,Materiais Básicos,Mineração e Siderurgia
NATU3,Natura Cosmeticos SA,23382700,https://icons.brapi.dev/icons/BRAPI.svg,Consumer Non-Durables,stock,Consumo Cíclico,Bens de Consumo
VBBR3,Vibra Energia SA,23368800,https://icons.brapi.dev/icons/VBBR3.svg,Retail Trade,stock,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis"
