ticker,status_ciclo
BBAS3,Observação
COGN3,Observação
CSAN3,Observação
RAIZ4,Observação
ABEV3,Observação
B3SA3,Observação
MGLU3,Observação
RAIL3,Observação
BBDC4,Observação
PETR4,Observação
AZUL4,Observação
RENT3,Observação
VAMO3,Observação
AMBP3,Observação
VALE3,Observação
AZTE3,Observação
CVCB3,Observação
ITUB4,Observação
PCAR3,Observação
OIBR3,Observação
ITSA4,Observação
ASAI3,Observação
AZEV4,Observação
STBP3,Venda
BEEF3,Venda
MBRF3,Observação
CMIG4,Observação
UGPA3,Observação
POMO4,Observação
EQTL3,Observação
EMBR3,Observação
GGBR4,Observação
LREN3,Observação
ONCO3,Observação
ENEV3,Observação
RAPT4,Observação
CSNA3,Observação
SIMH3,Observação
WEGE3,Observação
LJQQ3,Observação
NATU3,Observação
MRVE3,Observação
CASH3,Observação
MOTV3,Observação
CPLE6,Observação
TRIS3,Observação
AZEV3,Observação
PETR3,Observação
USIM5,Observação
DIRR3,Observação
VBBR3,Observação
RADL3,Observação
YDUQ3,Observação
BPAC11,Observação
CPLE3,Observação
BRKM5,Observação
CYRE3,Observação
BBDC3,Observação
PGMN3,Observação
MULT3,Observação
PRIO3,Observação
BBSE3,Observação
CEAB3,Observação
JHSF3,Observação
GOAU4,Observação
PETZ3,Observação
BHIA3,Compra
AMER3,Compra
SUZB3,Observação
AURE3,Compra
VIVA3,Observação
RCSL4,Compra
HAPV3,Observação
LWSA3,Observação
ANIM3,Observação
TIMS3,Observação
ECOR3,Observação
KLBN4,Observação
GGPS3,Observação
KLBN11,Observação
ELET3,Venda
CXSE3,Compra
CMIN3,Observação
SMFT3,Observação
RDOR3,Compra
HBOR3,Observação
INTB3,Compra
ALPA4,Compra
SBSP3,Compra
CBAV3,Compra
MOVI3,Compra
GRND3,Compra
ENGI11,Compra
IFCM3,Compra
ALOS3,Compra
GMAT3,Compra
FLRY3,Compra
HYPE3,Compra
SRNA3,Observação
CURY3,Compra
EZTC3,Compra
DXCO3,Compra
NEOE3,Compra
RANI3,Observação
SBFG3,Compra
ARML3,Compra
RECV3,Compra
ISAE4,Compra
QUAL3,Compra
MYPK3,Compra
MLAS3,Compra
SYNE3,Compra
ODPV3,Compra
DASA3,Compra
PDGR3,Compra
SANB11,Compra
VIVT3,Compra
HBSA3,Compra
SHUL4,Compra
JALL3,Compra
TOKY3,Compra
BRAP4,Compra
SMTO3,Compra
TOTS3,Compra
TAEE11,Compra
BPAN4,Compra
CSMG3,Observação
ZAMP3,Compra
KEPL3,Compra
VVEO3,Observação
GUAR3,Compra
MDNE3,Compra
TEND3,Compra
ALUP11,Compra
LIGT3,Compra
SAPR4,Compra
TUPY3,Compra
BRSR6,Compra
ORVR3,Compra
SLCE3,Compra
MILS3,Compra
POSI3,Compra
MELK3,Compra
PSSA3,Compra
SEER3,Compra
IRBR3,Compra
JSLG3,Compra
PLPL3,Compra
BMGB4,Compra
CSED3,Compra
CAML3,Compra
VULC3,Compra
TFCO4,Compra
SAPR11,Compra
EVEN3,Compra
TTEN3,Compra
GFSA3,Compra
ITUB3,Compra
HBRE3,Compra
ESPA3,Compra
ELET6,Observação
KLBN3,Compra
MTRE3,Compra
EGIE3,Compra
SOJA3,Compra
ENJU3,Compra
USIM3,Compra
CPFE3,Compra
MDIA3,Compra
LAVV3,Compra
DESK3,Observação
FESA4,Compra
PMAM3,Compra
VTRU3,Compra
FIQE3,Compra
SEQL3,Compra
WIZC3,Compra
ALPK3,Observação
ABCB4,Compra
LEVE3,Compra
PRNR3,Compra
OPCT3,Compra
POMO3,Compra
BRBI11,Compra
LPSB3,Compra
PINE4,Compra
TRAD3,Compra
TASA4,Compra
PORT3,Compra
LOGG3,Compra
MEAL3,Compra
AGRO3,Compra
BMOB3,Compra
SAPR3,Compra
ALLD3,Compra
TGMA3,Compra
TAEE4,Observação
FRAS3,Compra
BLAU3,Compra
UNIP6,Compra
VLID3,Compra
DEXP3,Compra
LUPA3,Compra
SCAR3,Compra
PNVL3,Compra
AMAR3,Compra
PTBL3,Compra
BRST3,Compra
PFRM3,Compra
OIBR4,Compra
CMIG3,Compra
SHOW3,Compra
MATD3,Compra
ROMI3,Compra
RNEW3,Compra
ITSA3,Compra
AERI3,Compra
TAEE3,Compra
SANB4,Compra
TCSA3,Compra
WEST3,Compra
VITT3,Compra
TECN3,Compra
DMVF3,Compra
BRKM3,Compra
RNEW4,Compra
VIVR3,Compra
SANB3,Compra
INEP4,Compra
CSUD3,Compra
LOGN3,Compra
BRAP3,Compra
UCAS3,Compra
EUCA4,Compra
LAND3,Compra
EQPA3,Compra
EALT4,Compra
AALR3,Compra
AMOB3,Compra
FHER3,Compra
CAMB3,Compra
IGTI3,Compra
BEES3,Compra
BIOM3,Compra
RCSL3,Compra
RAPT3,Compra
BALM4,Observação
CGRA4,Observação
BMEB4,Compra
BRSR3,Observação
GGBR3,Compra
CRPG5,Compra
ALPA3,Compra
TPIS3,Compra
AGXY3,Compra
PDTC3,Compra
ENGI4,Compra
WHRL4,Compra
GOAU3,Compra
CEBR6,Compra
ALUP4,Compra
OSXB3,Compra
CEBR3,Compra
EMAE4,Observação
CLSC4,Compra
LUXM4,Compra
SNSY5,Compra
COCE5,Compra
EPAR3,Compra
MOAR3,Compra
NGRD3,Compra
RPMG3,Compra
DEXP4,Compra
UNIP3,Compra
DOTZ3,Compra
HOOT4,Compra
BSLI4,Compra
ALUP3,Compra
WLMM4,Compra
BGIP4,Compra
NUTR3,Compra
ATED3,Compra
CEEB3,Compra
PINE3,Observação
CGRA3,Compra
BPAC5,Compra
BAZA3,Compra
TASA3,Compra
FICT3,Compra
ISAE3,Compra
PTNT3,Compra
BPAC3,Compra
PEAB4,Compra
BEES4,Compra
MNPR3,Compra
ENGI3,Compra
PTNT4,Compra
INEP3,Compra
EALT3,Compra
TELB4,Compra
UNIP5,Compra
HAGA4,Compra
WHRL3,Compra
AVLL3,Compra
REDE3,Compra
PEAB3,Compra
MTSA4,Compra
BSLI3,Compra
VSTE3,Compra
CTAX3,Compra
CEBR5,Compra
RDNI3,Compra
MGEL4,Compra
BNBR3,Compra
RSUL4,Compra
BDLL4,Compra
JFEN3,Compra
BMEB3,Observação
DOHL4,Compra
CBEE3,Compra
NEXP3,Compra
GEPA4,Compra
BGIP3,Compra
BMIN4,Compra
CGAS3,Compra
EUCA3,Compra
OFSA3,Compra
CGAS5,Compra
BMKS3,Compra
