year,date,open,high,low,close,volume,dividends,stock splits
2015,2015-12-30 00:00:00-02:00,43653.0,43662.0,43217.0,43350.0,2679200,0.0,0.0
2016,2016-12-29 00:00:00-02:00,59782.0,60248.0,59278.0,60227.0,2119500,0.0,0.0
2017,2017-12-29 00:00:00-02:00,76077.0,76437.0,76077.0,76402.0,0,0.0,0.0
2018,2018-12-28 00:00:00-02:00,85469.0,88044.0,85469.0,87887.0,3649100,0.0,0.0
2019,2019-12-30 00:00:00-03:00,116530.0,117086.0,115790.0,115964.0,3667900,0.0,0.0
2020,2020-12-30 00:00:00-03:00,119410.0,120150.0,118919.0,119306.0,8235700,0.0,0.0
2021,2021-12-30 00:00:00-03:00,104106.0,105269.0,104106.0,104822.0,11138100,0.0,0.0
2022,2022-12-29 00:00:00-03:00,110237.0,111178.0,109560.0,110031.0,13389100,0.0,0.0
2023,2023-12-28 00:00:00-03:00,134194.0,134392.0,133832.0,134185.0,7812700,0.0,0.0
2024,2024-12-30 00:00:00-03:00,120267.0,121050.0,120158.0,120283.0,8895300,0.0,0.0
2025,2025-09-15 00:00:00-03:00,142292.203125,144193.578125,142292.203125,143546.578125,0,0.0,0.0
