ticker,empresa,subsetor_b3,tipo,market_cap,logo,preco_atual,p_l,p_vp,payout_ratio,crescimento_preco_5a,roe,divida_total,ebitda,divida_ebitda,beta,current_ratio,liquidez_media_diaria,fcf_yield,perfil_acao,lpa,vpa,margem_seguranca_percent,sentimento_gauge,strong_buy,buy,hold,sell,strong_sell,rsi_14_1y,macd_diff_1y,volume_1y,ciclo_de_mercado,status_ciclo,frase_ciclo
MGLU3,Magazine Luiza S.A.,Comércio Varejista,stock,8253813760,https://icons.brapi.dev/icons/MGLU3.svg,10.62,21.24,0.7065398,58.24,-94.64261817756638,3.496,9726083072.0,1756504064.0,5.537182219693401,1.27,1.289,236563696.61999997,-8.952090724179364,Small Cap,0.5,15.031,22.45,45.0,1,1,9,2,2,62.42602780687578,-0.01617549499768567,40084400.0,Neutro / Transição,Observação,"“Não é sobre estar certo, é sobre estar lucrativo.” — George Soros"
PETR4,Petróleo Brasileiro S.A. - Petrobras,"Petróleo, Gás e Biocombustíveis",stock,435978895360,https://icons.brapi.dev/icons/PETR4.svg,31.81,5.610229,5.6042986,65.419996,456.07378773564227,18.483,68064002048.0,33190748160.0,2.0506920097097323,0.319,0.758,899582251.17,3.4798317665061758,Blue Chip,5.67,5.676,-15.41,76.92307692307692,4,6,3,0,0,55.26256951935519,0.06835630257289854,35720000.0,Neutro / Transição,Observação,"“Você não pode prever, mas pode se preparar.” — Howard Marks"
COGN3,Cogna Educação S.A.,Educação,stock,5950480896,https://icons.brapi.dev/icons/COGN3.svg,3.28,5.466666,0.47350946,11.5,-35.338933309218575,9.246001,6472005120.0,1817430016.0,3.561075289294661,0.219,1.533,97014678.88,10.666553562530755,Small Cap,0.6,6.927,194.83,62.5,1,4,7,0,0,64.58433865626806,0.01185199506568932,31249900.0,Neutro / Transição,Observação,"“Não é sobre estar certo, é sobre estar lucrativo.” — George Soros"
AZUL4,Azul S.A.,Logística e Mobilidade,stock,1136804224,https://icons.brapi.dev/icons/AZUL4.svg,1.23,,-0.043651078,,-94.86430071026635,,35082772480.0,2693093888.0,13.026939995045579,1.338,0.336,43849838.25,47.03524254322264,Micro Cap,-10.24,-28.178,,35.0,0,0,3,1,1,56.3174313183132,-0.031631378479544614,29391800.0,Neutro / Transição,Observação,"“Não é sobre estar certo, é sobre estar lucrativo.” — George Soros"
B3SA3,"B3 S.A. - Brasil, Bolsa, Balcão",Holdings e Outros Serviços Financeiros,stock,69258878976,https://icons.brapi.dev/icons/B3SA3.svg,13.4,14.725274,3.5281725,32.75,-11.938707829779426,24.775,14993871872.0,6536744960.0,2.2937826033830757,0.336,2.62,398077726.2,3.2275210471925266,Blue Chip,0.91,3.798,-34.19,67.85714285714286,3,4,7,0,0,56.01566241886665,-0.008307141967990261,27585100.0,Neutro / Transição,Observação,“Tenha paciência: o mercado sempre volta à razão.” — Luiz Barsi
CSAN3,Cosan S.A.,"Petróleo, Gás e Biocombustíveis",stock,11674749952,https://icons.brapi.dev/icons/CSAN3.svg,6.28,,1.6231585,,-57.31037137578103,-25.155002,66775937024.0,12846945280.0,5.197806604497345,0.73,1.827,170485609.20000002,-21.3535631533841,Mid Cap,-6.49,3.869,,70.45454545454545,2,5,4,0,0,44.16525980811787,-0.1796147227435505,24951500.0,Neutro / Transição,Observação,"“Você não pode prever, mas pode se preparar.” — Howard Marks"
RAIZ4,Raízen S.A.,Comércio e Distribuição,stock,10653289472,https://icons.brapi.dev/icons/RAIZ4.svg,1.03,,0.6552163,215.01000000000002,-83.8671354613271,-35.359,72884953088.0,8812768256.0,8.27038122083577,0.331,1.452,29256467.11,-42.475986444311644,Mid Cap,-0.69,1.572,,75.0,3,8,3,0,0,31.605386933603313,-0.02791241817636566,24787900.0,Neutro / Transição,Observação,"“Você não pode prever, mas pode se preparar.” — Howard Marks"
ABEV3,Ambev S.A.,Alimentos e Bebidas,stock,193500266496,https://icons.brapi.dev/icons/ABEV3.svg,12.41,13.202127,2.0923958,98.65,29.50350329868583,16.048999,3157764096.0,27305668608.0,0.1156450018248167,0.362,1.106,360537802.0,9.270279871356566,Blue Chip,0.94,5.931,-9.75,54.166666666666664,2,3,10,2,1,49.11990709792997,-0.00021159379724199068,0.0,Pânico / Fundo,Compra,“O risco está mais baixo quando o preço está mais baixo.” — Howard Marks
VAMO3,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",Logística e Mobilidade,stock,3805927680,https://icons.brapi.dev/icons/VAMO3.svg,3.57,7.0,1.461318,52.370000000000005,-50.02965116085045,14.401,16702650368.0,3456861952.0,4.831737743630903,0.113,1.798,47780637.239999995,65.46380702641203,Small Cap,0.51,2.443,48.31,75.0,5,4,3,1,0,37.20859771698673,-0.04431030705416613,0.0,Pânico / Fundo,Compra,“A reflexividade transforma medo em oportunidade.” — George Soros
RAIL3,Rumo S.A.,Logística e Mobilidade,stock,29042673664,https://icons.brapi.dev/icons/RAIL3.svg,15.65,44.714287,2.1610053,232.6,-13.903704149073814,4.7020003,27253602304.0,7207649792.0,3.781205121015957,-0.011,1.62,190449435.45000002,-9.082169880487214,Mid Cap,0.35,7.242,-51.75,73.33333333333334,3,8,4,0,0,58.98699836091187,0.13456934829906492,0.0,Pânico / Fundo,Compra,“O mercado dá presentes para quem não tem medo.” — Luiz Barsi
ITSA4,Itaúsa S.A.,Holdings e Outros Serviços Financeiros,stock,125347921920,https://icons.brapi.dev/icons/ITSA4.svg,11.46,8.185715,1.3870734,63.080000000000005,132.9996981995026,17.228001000000003,12675999744.0,1847000064.0,6.863020738909947,0.458,2.0,237258843.9,-0.856216814415937,Blue Chip,1.4,8.262,40.77,82.14285714285714,2,5,0,0,0,62.83935682177105,0.0015689511154341473,19557800.0,Neutro / Transição,Observação,“É melhor esperar por uma oportunidade clara do que agir na dúvida.” — Warren Buffett
ITUB4,Itaú Unibanco Holding S.A.,Bancos,stock,391948566528,https://icons.brapi.dev/icons/ITUB4.svg,38.89,9.6741295,2.0109622,66.040003,149.0326722283128,20.809,1012388986880.0,,,0.302,,809261737.77,,Blue Chip,4.02,19.339,7.54,78.84615384615384,3,9,1,0,0,59.28389060635275,-0.011567060410131114,18567400.0,Neutro / Transição,Observação,"“Você não pode prever, mas pode se preparar.” — Howard Marks"
BBAS3,Banco do Brasil S.A.,Bancos,stock,126269603840,https://icons.brapi.dev/icons/BBAS3.svg,22.12,7.956835,0.71384776,43.78,110.8003532833485,15.581,1068331958272.0,,,0.319,,862963158.12,,Blue Chip,2.78,30.987,99.03,53.84615384615385,1,2,9,0,1,58.88216980368488,-0.014839274859600904,17908100.0,Neutro / Transição,Observação,"“Não é sobre estar certo, é sobre estar lucrativo.” — George Soros"
BBDC4,Banco Bradesco S.A.,Bancos,stock,174943485952,https://icons.brapi.dev/icons/BBDC4.svg,17.84,9.591398,1.0841031,51.09,53.62023800441629,12.3459995,747837849600.0,,,0.384,,502017778.4,,Blue Chip,1.86,16.456,47.1,63.46153846153846,1,7,4,0,1,66.14554614238409,0.01904847858415648,0.0,Pânico / Fundo,Compra,“A reflexividade transforma medo em oportunidade.” — George Soros
JHSF3,JHSF Participações S.A.,Propriedades e Locação,stock,4312239616,https://icons.brapi.dev/icons/JHSF3.svg,6.45,3.7719297,0.7201072,22.37,33.246640693023636,19.003999,5747864064.0,696056000.0,8.257760961761697,0.129,2.477,21465806.400000002,-20.111835269591847,Small Cap,1.71,8.957,187.81,71.42857142857143,1,4,2,0,0,72.3880794320619,0.05338536067101243,15858200.0,Euforia / Topo,Venda,"“Quando todos estão certos, é hora de duvidar.” — George Soros"
RADL3,Raia Drogasil S.A.,Comércio Varejista,stock,31005368320,https://icons.brapi.dev/icons/RADL3.svg,18.1,24.45946,4.6469836,46.910000000000004,-9.043940948419959,19.186,8420909056.0,3155373056.0,2.668752285878681,0.126,1.398,200308446.50000003,4.706846120768805,Mid Cap,0.74,3.895,-55.51,61.66666666666667,3,4,6,1,1,54.88975373957915,-0.044874032726804014,0.0,Pânico / Fundo,Compra,“O mercado dá presentes para quem não tem medo.” — Luiz Barsi
VALE3,Vale S.A.,Mineração e Siderurgia,stock,244515635200,https://icons.brapi.dev/icons/VALE3.svg,57.28,8.745038,1.1416726,67.95,61.402475361187236,12.837000000000002,110776999936.0,71611998208.0,1.5469055843720998,1.039,1.215,1177005077.44,-1.1502331806714665,Blue Chip,6.55,50.172,50.12,72.91666666666666,3,5,4,0,0,58.78000559482344,-0.12391265109367344,0.0,Pânico / Fundo,Compra,“As melhores oportunidades vêm quando ninguém quer comprar.” — Warren Buffett
BRKM5,Braskem S.A.,Química e Petroquímica,stock,5971417600,https://icons.brapi.dev/icons/BRKM5.svg,6.66,,-1.3950565,,-62.44672862740593,,65370001408.0,2438000128.0,26.812960613593535,0.906,1.207,26199747.36,-99.57643558541275,Small Cap,-6.91,-4.774,,54.54545454545454,0,3,7,1,0,25.966992604371868,-0.23235907062333921,15168800.0,Neutro / Transição,Observação,"“Não é sobre estar certo, é sobre estar lucrativo.” — George Soros"
CPLE6,Companhia Paranaense de Energia - COPEL,Distribuição de Energia,stock,37238669312,https://icons.brapi.dev/icons/CPLE6.svg,12.89,15.719513,1.4953597,73.76,219.64925516089897,10.083999500000001,20213848064.0,5743093248.0,3.519679585742293,0.368,1.135,140056488.35,-9.55643032833407,Mid Cap,0.82,8.62,-2.16,85.71428571428572,6,8,0,0,0,61.09084701269288,0.010279987619655817,0.0,Pânico / Fundo,Compra,“O mercado dá presentes para quem não tem medo.” — Luiz Barsi
MRVE3,MRV Engenharia e Participações S.A.,Incorporação e Construção,stock,4114253056,https://icons.brapi.dev/icons/MRVE3.svg,7.22,,0.7878656,,-50.58695107606446,-21.170999,8045453824.0,-822000.0,-9787.656720194647,0.75,1.676,69001308.96,-10.117681200793887,Small Cap,-2.52,9.164,,67.3076923076923,2,5,6,0,0,41.37843586202577,-0.1060698258339218,14519200.0,Neutro / Transição,Observação,"“Você não pode prever, mas pode se preparar.” — Howard Marks"
ASAI3,Sendas Distribuidora S.A.,Comércio Varejista,stock,12696725504,https://icons.brapi.dev/icons/ASAI3.svg,9.44,13.681159,2.2714148,15.76,-31.299843070131505,17.687,26414999552.0,5128999936.0,5.150126707273954,0.49,1.105,153020285.44,6.004052113750415,Mid Cap,0.69,4.156,-14.91,73.33333333333334,3,8,4,0,0,40.785384624817404,-0.09373462769243754,13813700.0,Neutro / Transição,Observação,“É melhor esperar por uma oportunidade clara do que agir na dúvida.” — Warren Buffett
PETR3,Petróleo Brasileiro S.A. - Petrobras,"Petróleo, Gás e Biocombustíveis",stock,427752914944,https://icons.brapi.dev/icons/PETR3.svg,34.32,5.979094,6.0465117,65.419996,474.5165529927653,18.483,68064002048.0,33190748160.0,2.0506920097097323,0.319,0.758,314435961.84,3.5467513057125934,Blue Chip,5.74,5.676,-21.11,75.0,2,4,2,0,0,51.99640044812421,0.06716114757313696,0.0,Pânico / Fundo,Compra,“O mercado dá presentes para quem não tem medo.” — Luiz Barsi
PCAR3,Companhia Brasileira De Distribuicao,Comércio Varejista,stock,2137413120,https://icons.brapi.dev/icons/PCAR3.svg,4.36,,0.8370129,,-50.23052634271852,-36.366,8780000256.0,657000000.0,13.363775123287672,1.384,0.946,64078597.36000001,17.06502185220983,Small Cap,-3.74,5.209,,37.5,0,0,8,2,2,67.04502574404654,-0.0005951826591850118,0.0,Pânico / Fundo,Compra,“As melhores oportunidades vêm quando ninguém quer comprar.” — Warren Buffett
