ticker,ano,fechamento
COGN3,2025,2.72
COGN3,2024,1.06
COGN3,2023,3.4
COGN3,2022,2.06
COGN3,2021,2.4
COGN3,2020,4.51
COGN3,2019,11.13
COGN3,2018,8.53
BBAS3,2025,19.69
BBAS3,2024,23.57
BBAS3,2023,24.92
BBAS3,2022,14.45
BBAS3,2021,10.86
BBAS3,2020,13.56
BBAS3,2019,17.74
BBAS3,2018,14.83
RAIZ4,2025,1.03
RAIZ4,2024,2.16
RAIZ4,2023,4.01
RAIZ4,2022,3.44
RAIZ4,2021,5.7
RAIZ4,2020,
RAIZ4,2019,
RAIZ4,2018,
PCAR3,2025,3.18
PCAR3,2024,2.55
PCAR3,2023,4.06
PCAR3,2022,16.52
PCAR3,2021,21.41
PCAR3,2020,9.31
PCAR3,2019,10.37
PCAR3,2018,9.34
B3SA3,2025,12.25
B3SA3,2024,10.2
B3SA3,2023,13.92
B3SA3,2022,12.25
B3SA3,2021,9.96
B3SA3,2020,17.68
B3SA3,2019,11.87
B3SA3,2018,7.25
AZUL4,2025,0.57
AZUL4,2024,3.54
AZUL4,2023,16.01
AZUL4,2022,11.01
AZUL4,2021,24.36
AZUL4,2020,39.3
AZUL4,2019,58.28
AZUL4,2018,36.0
MGLU3,2025,6.68
MGLU3,2024,6.31
MGLU3,2023,19.61
MGLU3,2022,24.88
MGLU3,2021,65.56
MGLU3,2020,226.38
MGLU3,2019,107.89
MGLU3,2018,50.81
PETR4,2025,29.62
PETR4,2024,33.52
PETR4,2023,28.15
PETR4,2022,14.3
PETR4,2021,10.37
PETR4,2020,8.4
PETR4,2019,8.94
PETR4,2018,6.5
BBDC4,2025,15.79
BBDC4,2024,10.74
BBDC4,2023,14.95
BBDC4,2022,12.04
BBDC4,2021,13.57
BBDC4,2020,16.68
BBDC4,2019,19.68
BBDC4,2018,16.55
RAIL3,2025,14.68
RAIL3,2024,17.1
RAIL3,2023,21.89
RAIL3,2022,17.69
RAIL3,2021,16.87
RAIL3,2020,18.27
RAIL3,2019,24.79
RAIL3,2018,16.14
ASAI3,2025,9.82
ASAI3,2024,5.53
ASAI3,2023,13.29
ASAI3,2022,19.04
ASAI3,2021,12.55
ASAI3,2020,
ASAI3,2019,
ASAI3,2018,
ITUB4,2025,36.37
ITUB4,2024,26.06
ITUB4,2023,26.85
ITUB4,2022,18.86
ITUB4,2021,15.19
ITUB4,2020,22.15
ITUB4,2019,25.29
ITUB4,2018,23.23
ABEV3,2025,12.06
ABEV3,2024,11.53
ABEV3,2023,12.78
ABEV3,2022,12.84
ABEV3,2021,12.95
ABEV3,2020,12.59
ABEV3,2019,14.64
ABEV3,2018,11.75
NATU3,2025,8.44
NATU3,2024,
NATU3,2023,
NATU3,2022,
NATU3,2021,
NATU3,2020,
NATU3,2019,36.86
NATU3,2018,44.64
CSAN3,2025,5.22
CSAN3,2024,8.16
CSAN3,2023,18.7
CSAN3,2022,16.1
CSAN3,2021,19.94
CSAN3,2020,16.92
CSAN3,2019,15.22
CSAN3,2018,7.16
CBAV3,2025,2.84
CBAV3,2024,4.69
CBAV3,2023,5.1
CBAV3,2022,10.78
CBAV3,2021,12.52
CBAV3,2020,
CBAV3,2019,
CBAV3,2018,
ITSA4,2025,10.6
ITSA4,2024,8.05
ITSA4,2023,8.44
ITSA4,2022,6.16
ITSA4,2021,5.5
ITSA4,2020,6.63
ITSA4,2019,7.68
ITSA4,2018,6.22
LREN3,2025,15.44
LREN3,2024,11.81
LREN3,2023,14.76
LREN3,2022,16.62
LREN3,2021,19.29
LREN3,2020,30.57
LREN3,2019,39.14
LREN3,2018,26.51
VALE3,2025,53.45
VALE3,2024,50.72
VALE3,2023,65.7
VALE3,2022,69.7
VALE3,2021,55.78
VALE3,2020,53.19
VALE3,2019,31.12
VALE3,2018,29.01
AURE3,2025,10.5
AURE3,2024,8.71
AURE3,2023,12.81
AURE3,2022,11.54
AURE3,2021,
AURE3,2020,
AURE3,2019,
AURE3,2018,
RADL3,2025,18.26
RADL3,2024,21.75
RADL3,2023,28.68
RADL3,2022,22.0
RADL3,2021,22.28
RADL3,2020,22.75
RADL3,2019,20.17
RADL3,2018,10.24
CMIG4,2025,10.62
CMIG4,2024,10.06
CMIG4,2023,7.03
CMIG4,2022,6.11
CMIG4,2021,4.63
CMIG4,2020,4.14
CMIG4,2019,3.66
CMIG4,2018,3.49
CVCB3,2025,1.99
CVCB3,2024,1.38
CVCB3,2023,3.5
CVCB3,2022,4.14
CVCB3,2021,12.23
CVCB3,2020,18.03
CVCB3,2019,36.1
CVCB3,2018,49.92
VAMO3,2025,3.71
VAMO3,2024,4.75
VAMO3,2023,9.6
VAMO3,2022,11.54
VAMO3,2021,10.67
VAMO3,2020,
VAMO3,2019,
VAMO3,2018,
PETR3,2025,31.98
PETR3,2024,36.69
PETR3,2023,29.99
PETR3,2022,17.07
PETR3,2021,11.46
PETR3,2020,8.79
PETR3,2019,9.65
PETR3,2018,7.53
PETZ3,2025,3.89
PETZ3,2024,4.07
PETZ3,2023,3.71
PETZ3,2022,5.87
PETZ3,2021,15.31
PETZ3,2020,17.77
PETZ3,2019,
PETZ3,2018,
BEEF3,2025,5.37
BEEF3,2024,5.09
BEEF3,2023,7.47
BEEF3,2022,12.31
BEEF3,2021,9.71
BEEF3,2020,8.47
BEEF3,2019,10.27
BEEF3,2018,3.99
SIMH3,2025,4.33
SIMH3,2024,3.46
SIMH3,2023,9.5
SIMH3,2022,6.65
SIMH3,2021,10.73
SIMH3,2020,8.0
SIMH3,2019,
SIMH3,2018,
BPAC11,2025,42.61
BPAC11,2024,26.65
BPAC11,2023,35.85
BPAC11,2022,22.23
BPAC11,2021,18.91
BPAC11,2020,20.83
BPAC11,2019,16.52
BPAC11,2018,4.96
USIM5,2025,4.0
USIM5,2024,5.32
USIM5,2023,8.98
USIM5,2022,6.6
USIM5,2021,13.26
USIM5,2020,11.8
USIM5,2019,7.61
USIM5,2018,7.27
MRVE3,2025,7.03
MRVE3,2024,5.31
MRVE3,2023,11.23
MRVE3,2022,7.6
MRVE3,2021,11.53
MRVE3,2020,17.92
MRVE3,2019,19.99
MRVE3,2018,11.22
EQTL3,2025,34.71
EQTL3,2024,26.79
EQTL3,2023,34.4
EQTL3,2022,25.66
EQTL3,2021,20.94
EQTL3,2020,20.83
EQTL3,2019,20.24
EQTL3,2018,13.09
