ticker,close,volume,logo,sector,type
BBAS3,21.07,59254100,https://icons.brapi.dev/icons/BBAS3.svg,Finance,stock
RAIZ4,1.15,54149800,https://icons.brapi.dev/icons/RAIZ4.svg,Retail Trade,stock
BBDC4,16.35,42207700,https://icons.brapi.dev/icons/BBDC4.svg,Finance,stock
ITSA4,11.1,35628500,https://icons.brapi.dev/icons/ITSA4.svg,Finance,stock
PRIO3,37.59,34711400,https://icons.brapi.dev/icons/PRIO3.svg,Energy Minerals,stock
PETR4,30.36,31498100,https://icons.brapi.dev/icons/PETR4.svg,Energy Minerals,stock
CSAN3,5.77,22552600,https://icons.brapi.dev/icons/CSAN3.svg,Utilities,stock
CVCB3,2.1,21686200,https://icons.brapi.dev/icons/CVCB3.svg,Consumer Services,stock
COGN3,2.93,21043700,https://icons.brapi.dev/icons/COGN3.svg,Commercial Services,stock
ITUB4,37.76,21027800,https://icons.brapi.dev/icons/ITUB4.svg,Finance,stock
PCAR3,2.95,19415100,https://icons.brapi.dev/icons/PCAR3.svg,Retail Trade,stock
ABEV3,12.07,18813900,https://icons.brapi.dev/icons/ABEV3.svg,Consumer Non-Durables,stock
BEEF3,5.12,18596000,https://icons.brapi.dev/icons/BEEF3.svg,Distribution Services,stock
B3SA3,13.16,17580500,https://icons.brapi.dev/icons/B3SA3.svg,Finance,stock
RENT3,34.88,17314400,https://icons.brapi.dev/icons/RENT3.svg,Finance,stock
MGLU3,6.91,16977900,https://icons.brapi.dev/icons/MGLU3.svg,Retail Trade,stock
VAMO3,3.85,15471300,https://icons.brapi.dev/icons/VAMO3.svg,Finance,stock
MRFG3,23.36,13908000,https://icons.brapi.dev/icons/MRFG3.svg,Consumer Non-Durables,stock
CPLE6,12.08,13128800,https://icons.brapi.dev/icons/CPLE6.svg,Utilities,stock
VALE3,53.2,12733400,https://icons.brapi.dev/icons/VALE3.svg,Non-Energy Minerals,stock
RAIL3,15.86,12380500,https://icons.brapi.dev/icons/RAIL3.svg,Transportation,stock
VBBR3,20.88,11465200,https://icons.brapi.dev/icons/VBBR3.svg,Retail Trade,stock
MRVE3,7.41,11419900,https://icons.brapi.dev/icons/MRVE3.svg,Consumer Durables,stock
ASAI3,10.29,10804000,https://icons.brapi.dev/icons/ASAI3.svg,Retail Trade,stock
LREN3,16.21,9897600,https://icons.brapi.dev/icons/LREN3.svg,Retail Trade,stock
BBDC3,14.0,9811300,https://icons.brapi.dev/icons/BBDC3.svg,Finance,stock
USIM5,4.11,9707600,https://icons.brapi.dev/icons/USIM5.svg,Non-Energy Minerals,stock
PETR3,32.86,9347900,https://icons.brapi.dev/icons/PETR3.svg,Energy Minerals,stock
AZUL4,0.58,8783400,https://icons.brapi.dev/icons/AZUL4.svg,Transportation,stock
BPAC11,45.07,8717900,https://icons.brapi.dev/icons/BPAC11.svg,Finance,fund
GGBR4,16.39,8484400,https://icons.brapi.dev/icons/GGBR4.svg,Non-Energy Minerals,stock
CSNA3,7.08,8373600,https://icons.brapi.dev/icons/CSNA3.svg,Non-Energy Minerals,stock
LWSA3,4.19,8192800,https://icons.brapi.dev/icons/LWSA3.svg,Technology Services,stock
CMIG4,10.77,7400900,https://icons.brapi.dev/icons/CMIG4.svg,Utilities,stock
ENEV3,14.1,7382500,https://icons.brapi.dev/icons/ENEV3.svg,Utilities,stock
BBSE3,32.86,7376300,https://icons.brapi.dev/icons/BBSE3.svg,Finance,stock
POMO4,9.08,7231800,https://icons.brapi.dev/icons/POMO4.svg,Producer Manufacturing,stock
RDOR3,38.21,7032600,https://icons.brapi.dev/icons/RDOR3.svg,Health Services,stock
PETZ3,3.94,6784600,https://icons.brapi.dev/icons/PETZ3.svg,Process Industries,stock
SUZB3,52.6,6656100,https://icons.brapi.dev/icons/SUZB3.svg,Process Industries,stock
CBAV3,3.09,6608000,https://icons.brapi.dev/icons/CBAV3.svg,Non-Energy Minerals,stock
BHIA3,2.86,6345200,https://icons.brapi.dev/icons/BHIA3.svg,Retail Trade,stock
BRAV3,19.67,6032300,https://icons.brapi.dev/icons/BRAV3.svg,Energy Minerals,stock
AURE3,10.42,5918600,https://icons.brapi.dev/icons/AURE3.svg,Utilities,stock
ELET3,42.29,5913900,https://icons.brapi.dev/icons/ELET3.svg,Utilities,stock
BRFS3,19.9,5902300,https://icons.brapi.dev/icons/BRFS3.svg,Consumer Non-Durables,stock
NATU3,8.86,5560200,https://icons.brapi.dev/icons/BRAPI.svg,Consumer Non-Durables,stock
CEAB3,15.91,5451400,https://icons.brapi.dev/icons/CEAB3.svg,Retail Trade,stock
WEGE3,36.41,5425600,https://icons.brapi.dev/icons/WEGE3.svg,Producer Manufacturing,stock
AZTE3,0.53,5268800,https://icons.brapi.dev/icons/AZTE3.svg,Industrial Services,stock
MOTV3,13.34,5265300,https://icons.brapi.dev/icons/BRAPI.svg,Transportation,stock
EMBR3,78.41,5233600,https://icons.brapi.dev/icons/EMBR3.svg,Electronic Technology,stock
UGPA3,17.86,5116600,https://icons.brapi.dev/icons/UGPA3.svg,Retail Trade,stock
TIMS3,22.49,4745200,https://icons.brapi.dev/icons/TIMS3.svg,Communications,stock
GGPS3,16.89,4680600,https://icons.brapi.dev/icons/GGPS3.svg,Commercial Services,stock
MOVI3,7.18,4489400,https://icons.brapi.dev/icons/MOVI3.svg,Finance,stock
EQTL3,35.94,4403400,https://icons.brapi.dev/icons/EQTL3.svg,Utilities,stock
HBSA3,3.68,4322500,https://icons.brapi.dev/icons/HBSA3.svg,Transportation,stock
CYRE3,25.39,4243600,https://icons.brapi.dev/icons/CYRE3.svg,Finance,stock
HAPV3,39.37,4109700,https://icons.brapi.dev/icons/HAPV3.svg,Health Services,stock
RADL3,17.45,3860300,https://icons.brapi.dev/icons/RADL3.svg,Retail Trade,stock
VIVT3,33.94,3732500,https://icons.brapi.dev/icons/VIVT3.svg,Communications,stock
SIMH3,4.26,3704100,https://icons.brapi.dev/icons/SIMH3.svg,Transportation,stock
KLBN11,18.01,3644300,https://icons.brapi.dev/icons/KLBN11.svg,Non-Energy Minerals,fund
BRKM5,7.95,3411000,https://icons.brapi.dev/icons/BRKM5.svg,Process Industries,stock
JHSF3,5.53,3382300,https://icons.brapi.dev/icons/JHSF3.svg,Finance,stock
QUAL3,1.87,3356200,https://icons.brapi.dev/icons/QUAL3.svg,Health Services,stock
CMIN3,4.88,3318100,https://icons.brapi.dev/icons/CMIN3.svg,Non-Energy Minerals,stock
CPLE3,11.25,3310300,https://icons.brapi.dev/icons/CPLE3.svg,Utilities,stock
GOAU4,9.18,3263500,https://icons.brapi.dev/icons/GOAU4.svg,Non-Energy Minerals,stock
SMFT3,24.06,3218600,https://icons.brapi.dev/icons/SMFT3.svg,Consumer Services,stock
ONCO3,5.09,3156400,https://icons.brapi.dev/icons/ONCO3.svg,Health Services,stock
ALOS3,23.16,3121600,https://icons.brapi.dev/icons/ALOS3.svg,Finance,stock
CXSE3,13.83,3085200,https://icons.brapi.dev/icons/CXSE3.svg,Finance,stock
ECOR3,7.17,2975700,https://icons.brapi.dev/icons/ECOR3.svg,Transportation,stock
BPAN4,8.13,2756700,https://icons.brapi.dev/icons/BPAN4.svg,Finance,stock
GRND3,5.37,2697300,https://icons.brapi.dev/icons/GRND3.svg,Consumer Non-Durables,stock
PSSA3,53.11,2681500,https://icons.brapi.dev/icons/PSSA3.svg,Finance,stock
DIRR3,14.09,2639800,https://icons.brapi.dev/icons/DIRR3.svg,Finance,stock
FLRY3,14.17,2542800,https://icons.brapi.dev/icons/FLRY3.svg,Health Services,stock
YDUQ3,13.24,2458900,https://icons.brapi.dev/icons/YDUQ3.svg,Commercial Services,stock
VVEO3,0.87,2347300,https://icons.brapi.dev/icons/VVEO3.svg,Distribution Services,stock
VIVA3,27.81,2334700,https://icons.brapi.dev/icons/VIVA3.svg,Consumer Durables,stock
RECV3,12.78,2323300,https://icons.brapi.dev/icons/RECV3.svg,Energy Minerals,stock
GMAT3,7.07,2321900,https://icons.brapi.dev/icons/GMAT3.svg,Retail Trade,stock
KLBN4,3.61,2081900,https://icons.brapi.dev/icons/KLBN4.svg,Non-Energy Minerals,stock
INTB3,12.79,2078300,https://icons.brapi.dev/icons/INTB3.svg,Technology Services,stock
TOTS3,42.2,2056600,https://icons.brapi.dev/icons/TOTS3.svg,Technology Services,stock
ISAE4,22.14,2051300,https://icons.brapi.dev/icons/ISAE4.svg,Utilities,stock
ELET6,45.98,2010600,https://icons.brapi.dev/icons/ELET6.svg,Utilities,stock
DXCO3,5.81,2004100,https://icons.brapi.dev/icons/DXCO3.svg,Producer Manufacturing,stock
MULT3,26.74,2002400,https://icons.brapi.dev/icons/MULT3.svg,Finance,stock
AZEV3,0.54,1974500,https://icons.brapi.dev/icons/AZEV3.svg,Industrial Services,stock
SBFG3,10.43,1969100,https://icons.brapi.dev/icons/SBFG3.svg,Retail Trade,stock
CSMG3,26.75,1966600,https://icons.brapi.dev/icons/CSMG3.svg,Utilities,stock
RCSL4,1.11,1957900,https://icons.brapi.dev/icons/RCSL4.svg,Producer Manufacturing,stock
STBP3,14.13,1954600,https://icons.brapi.dev/icons/STBP3.svg,Transportation,stock
CURY3,32.6,1945500,https://icons.brapi.dev/icons/CURY3.svg,Finance,stock
BRAP4,15.88,1933100,https://icons.brapi.dev/icons/BRAP4.svg,Finance,stock
SBSP3,119.43,1932200,https://icons.brapi.dev/icons/SBSP3.svg,Utilities,stock
TAEE11,34.25,1904100,https://icons.brapi.dev/icons/TAEE11.svg,Industrial Services,fund
AZZA3,34.0,1861200,https://icons.brapi.dev/icons/AZZA3.svg,Consumer Non-Durables,stock
CASH3,5.5,1823800,https://icons.brapi.dev/icons/CASH3.svg,Commercial Services,stock
RAPT4,6.69,1819500,https://icons.brapi.dev/icons/RAPT4.svg,Producer Manufacturing,stock
SANB11,27.27,1665800,https://icons.brapi.dev/icons/SANB11.svg,Finance,fund
SRNA3,12.09,1634300,https://icons.brapi.dev/icons/SRNA3.svg,Utilities,stock
IGTI11,22.25,1625800,https://icons.brapi.dev/icons/IGTI11.svg,Finance,fund
SMTO3,16.72,1584700,https://icons.brapi.dev/icons/SMTO3.svg,Process Industries,stock
ALPA4,9.52,1433700,https://icons.brapi.dev/icons/ALPA4.svg,Consumer Non-Durables,stock
SLCE3,17.13,1400800,https://icons.brapi.dev/icons/SLCE3.svg,Process Industries,stock
VULC3,20.15,1329600,https://icons.brapi.dev/icons/VULC3.svg,Consumer Non-Durables,stock
AZEV4,0.58,1313600,https://icons.brapi.dev/icons/AZEV4.svg,Industrial Services,stock
ENGI11,46.9,1269100,https://icons.brapi.dev/icons/ENGI11.svg,Utilities,fund
LIGT3,6.26,1258200,https://icons.brapi.dev/icons/LIGT3.svg,Utilities,stock
ALUP11,29.35,1250600,https://icons.brapi.dev/icons/ALUP11.svg,Utilities,fund
AMER3,4.97,1219200,https://icons.brapi.dev/icons/AMER3.svg,Retail Trade,stock
CPFE3,39.32,1195700,https://icons.brapi.dev/icons/CPFE3.svg,Utilities,stock
ORVR3,53.21,1184600,https://icons.brapi.dev/icons/ORVR3.svg,Utilities,stock
ODPV3,13.0,1181100,https://icons.brapi.dev/icons/ODPV3.svg,Health Services,stock
SAPR4,6.54,1170900,https://icons.brapi.dev/icons/SAPR4.svg,Utilities,stock
HYPE3,23.05,1148100,https://icons.brapi.dev/icons/HYPE3.svg,Health Technology,stock
KEPL3,7.3,1131600,https://icons.brapi.dev/icons/KEPL3.svg,Producer Manufacturing,stock
OIBR3,0.56,1127700,https://icons.brapi.dev/icons/OIBR3.svg,Communications,stock
BRSR6,11.94,1095800,https://icons.brapi.dev/icons/BRSR6.svg,Finance,stock
MLAS3,1.0,1090000,https://icons.brapi.dev/icons/MLAS3.svg,Electronic Technology,stock
TTEN3,14.41,1082200,https://icons.brapi.dev/icons/TTEN3.svg,Commercial Services,stock
TUPY3,14.89,1077700,https://icons.brapi.dev/icons/TUPY3.svg,Producer Manufacturing,stock
TEND3,21.55,1061900,https://icons.brapi.dev/icons/TEND3.svg,Finance,stock
IFCM3,0.57,1037300,https://icons.brapi.dev/icons/IFCM3.svg,Distribution Services,stock
POSI3,4.24,1029500,https://icons.brapi.dev/icons/POSI3.svg,Electronic Technology,stock
EZTC3,14.27,1028000,https://icons.brapi.dev/icons/EZTC3.svg,Finance,stock
MELK3,3.75,1020400,https://icons.brapi.dev/icons/MELK3.svg,Industrial Services,stock
HBOR3,2.94,994600,https://icons.brapi.dev/icons/HBOR3.svg,Consumer Durables,stock
MILS3,12.51,953100,https://icons.brapi.dev/icons/MILS3.svg,Finance,stock
MTRE3,3.53,946000,https://icons.brapi.dev/icons/MTRE3.svg,Finance,stock
JALL3,2.93,931200,https://icons.brapi.dev/icons/JALL3.svg,Process Industries,stock
CAML3,4.43,917800,https://icons.brapi.dev/icons/CAML3.svg,Process Industries,stock
SEER3,8.62,910400,https://icons.brapi.dev/icons/SEER3.svg,Consumer Services,stock
OPCT3,6.7,909000,https://icons.brapi.dev/icons/OPCT3.svg,Commercial Services,stock
LJQQ3,2.27,862800,https://icons.brapi.dev/icons/LJQQ3.svg,Retail Trade,stock
